DateTime,600026,600033,600072,600176,600211,600298,600406,600486,600497,600500,600501,600602,600610,600839,600889,600984,600217,600917,600959
20140304,4.21,2.07,9.02,7.57,24.61,17.61,18.33,32.97,9.19,7.78,10.34,6.34,25.2,3.55,5.02,5.45,,,
20140305,4.1,2.06,9.0,7.42,24.92,17.64,17.82,32.41,9.03,7.42,10.16,6.23,25.2,3.49,5.06,5.43,,,
20140306,4.13,2.06,8.8,7.34,25.0,17.34,17.67,32.22,8.94,7.45,10.01,6.22,25.2,3.43,5.04,5.44,,,
20140307,4.18,2.07,8.73,7.4,25.12,17.29,18.14,32.16,9.11,7.39,10.0,6.17,25.2,3.48,4.99,5.44,,,
20140310,4.08,2.03,8.09,7.25,23.43,16.33,16.64,31.09,8.78,7.1,9.43,6.01,25.2,3.32,4.85,5.3,,,
20140311,4.03,2.04,8.02,7.33,22.83,16.13,16.23,33.4,8.81,7.1,9.35,6.08,25.2,3.32,5.34,5.39,,,
20140312,3.9,2.03,7.86,7.39,23.49,16.28,16.28,33.4,8.99,7.01,9.19,5.78,25.2,3.23,5.72,5.4,,,
20140313,3.89,2.04,7.95,7.47,23.82,16.68,16.18,34.29,8.96,7.09,9.39,5.79,25.2,3.23,5.57,5.45,,,
20140314,3.93,2.04,7.76,7.67,23.37,16.19,15.97,34.78,8.87,7.22,9.3,5.88,25.2,3.42,5.42,5.51,,,
20140317,3.93,2.05,7.85,7.69,23.71,16.29,16.39,35.08,8.94,7.23,9.5,6.17,25.2,3.46,5.51,5.52,,,
20140318,3.96,2.05,7.88,7.6,23.83,16.0,16.22,33.94,8.93,7.2,9.4,6.13,25.2,3.49,5.43,5.55,,,
20140319,3.94,2.05,7.5,7.72,23.49,15.78,15.11,34.57,8.8,7.12,9.35,6.21,25.2,3.42,5.63,5.57,,,
20140320,4.0,2.04,7.21,7.42,22.54,15.48,14.97,34.06,8.68,7.04,9.08,6.03,25.2,3.26,5.41,5.51,,,
20140321,4.14,2.07,7.26,7.72,22.52,15.72,15.39,35.47,8.85,7.2,9.28,6.55,25.2,3.37,5.45,5.58,,,
20140324,4.27,2.11,7.27,7.83,22.47,15.74,15.4,35.18,8.92,7.2,9.45,6.66,25.2,3.36,5.51,5.66,,,
20140325,4.24,2.1,7.32,7.8,22.49,15.78,15.47,34.23,8.97,7.09,9.53,6.88,25.2,3.54,5.68,5.67,,,
