code,name,c_name
600501,航天晨光,汽车制造
600033,福建高速,公路桥梁
600500,中化国际,物资外贸
600610,中毅达,纺织机械
600889,南京化纤,化纤行业
600211,西藏药业,生物制药
600839,四川长虹,家电行业
600072,中船科技,船舶制造
600176,中国巨石,玻璃行业
600959,江苏有线,传媒娱乐
600217,中再资环,水泥行业
600486,扬农化工,农药化肥
600026,中远海能,交通运输
600298,安琪酵母,食品行业
600497,驰宏锌锗,有色金属
600602,云赛智联,电子器件
600984,建设机械,机械行业
600406,国电南瑞,电子信息
600917,重庆燃气,供水供气
